Species	Num_Gaps
Acinonyx_jubatus	0
Acomys_russatus	0
Agelaius_phoeniceus	0
Ahaetulla_prasina	0
Ailuropoda_melanoleuca	5
Alligator_mississippiensis	0
Amblyraja_radiata	0
Ambystoma_mexicanum	0
Amia_calva	0
Anas_acuta	0
Anas_platyrhynchos	0
Anguilla_anguilla	21
Anguilla_rostrata	36
Anolis_carolinensis	0
Anolis_sagrei	0
Anomalospiza_imberbis	0
Anser_cygnoides	0
Antechinus_flavipes	0
Aphelocoma_coerulescens	0
Apodemus_sylvaticus	0
Apteryx_mantelli	0
Apus_apus	1
Aquila_chrysaetos	0
Arvicanthis_niloticus	0
Arvicola_amphibius	0
Aythya_fuligula	0
Balaenoptera_acutorostrata	0
Balaenoptera_musculus	0
Bombina_bombina	0
Bos_mutus	0
Bos_taurus	0
Brienomyrus_brachyistius	0
Bubalus_bubalis	0
Budorcas_taxicolor	0
Bufo_bufo	0
Bufo_gargarizans	0
Callithrix_jacchus	0
Caloenas_nicobarica	0
Calypte_anna	0
Camarhynchus_parvulus	0
Camelus_ferus	0
Candoia_aspera	0
Capra_hircus	0
Capricornis_sumatraensis	0
Carcharodon_carcharias	0
Caretta_caretta	0
Catharus_ustulatus	0
Cervus_canadensis	1
Cervus_elaphus	0
Chelonia_mydas	0
Chionomys_nivalis	0
Chiroxiphia_lanceolata	0
Choloepus_didactylus	0
Chroicocephalus_ridibundus	0
Chrysemys_picta	0
Cinclus_cinclus	0
Colius_striatus	0
Columba_livia	0
Corvus_cornix	0
Corvus_hawaiiensis	0
Corvus_moneduloides	0
Coturnix_japonica	0
Cricetulus_griseus	0
Cuculus_canorus	0
Cygnus_atratus	0
Cygnus_olor	0
Cynocephalus_volans	0
Dama_dama	0
Dasypus_novemcinctus	1
Dendropsophus_ebraccatus	0
Dermochelys_coriacea	0
Desmodus_rotundus	0
Diceros_bicornis	0
Dromaius_novaehollandiae	0
Dromiciops_gliroides	0
Elephas_maximus	0
Eleutherodactylus_coqui	0
Elgaria_multicarinata	0
Emys_orbicularis	0
Eptesicus_fuscus	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Equus_quagga	3
Erinaceus_europaeus	0
Erpetoichthys_calabaricus	6
Erythrolamprus_reginae	0
Eschrichtius_robustus	0
Eubalaena_glacialis	0
Eublepharis_macularius	0
Eulemur_rufifrons	0
Euleptes_europaea	0
Falco_biarmicus	0
Falco_cherrug	0
Falco_naumanni	0
Falco_peregrinus	0
Falco_rusticolus	0
Felis_catus	0
Ficedula_albicollis	0
Gavia_stellata	0
Geotrypetes_seraphini	0
Globicephala_melas	0
Gopherus_flavomarginatus	0
Gracilinanus_agilis	6
Grus_americana	0
Gymnogyps_californianus	0
Haemorhous_mexicanus	0
Haliaeetus_albicilla	0
Heliangelus_exortis	0
Hemicordylus_capensis	0
Heteronotia_binoei	0
Hippopotamus_amphibius	0
Hirundo_rustica	0
Hyla_sarda	1
Hyperolius_riggenbachi	1
Ictidomys_tridecemlineatus	8
Indicator_indicator	1
Jaculus_jaculus	0
Lacerta_agilis	0
Lagenorhynchus_albirostris	0
Lagopus_muta	0
Lathamus_discolor	0
Lemur_catta	0
Leopardus_geoffroyi	0
Lepisosteus_oculatus	1
Lepus_europaeus	0
Lonchura_striata	2
Loxodonta_africana	0
Lutra_lutra	0
Lynx_canadensis	0
Macaca_fascicularis	0
Macaca_mulatta	0
Macaca_nemestrina	0
Macaca_thibetana	0
Malaclemys_terrapin	0
Manis_pentadactyla	0
Marmota_flaviventris	0
Mastomys_coucha	14
Mauremys_mutica	1
Mauremys_reevesii	0
Meles_meles	0
Melopsittacus_undulatus	0
Melospiza_georgiana	0
Melospiza_melodia	0
Meriones_unguiculatus	0
Mesoplodon_densirostris	0
Microcebus_murinus	0
Microtus_ochrogaster	20
Mobula_hypostoma	0
Molothrus_aeneus	0
Molothrus_ater	0
Monodelphis_domestica	1
Motacilla_alba	0
Muntiacus_reevesi	0
Mus_caroli	10
Mus_musculus	0
Mus_pahari	16
Mustela_erminea	0
Mustela_lutreola	0
Mustela_nigripes	4
Myotis_daubentonii	1
Narcine_bancroftii	0
Neofelis_nebulosa	0
Neogale_vison	0
Neomonachus_schauinslandi	5
Nomascus_leucogenys	1
Numida_meleagris	4
Nyctibius_grandis	0
Nycticebus_coucang	0
Ochotona_princeps	0
Odocoileus_virginianus	0
Oenanthe_melanoleuca	0
Orcinus_orca	0
Ornithorhynchus_anatinus	0
Oryctolagus_cuniculus	0
Ovis_aries	0
Ovis_canadensis	0
Pan_paniscus	0
Panthera_leo	0
Panthera_onca	0
Panthera_tigris	0
Panthera_uncia	3
Pan_troglodytes	0
Papio_anubis	1
Parus_major	3
Passer_domesticus	0
Patagioenas_fasciata	0
Pelobates_fuscus	0
Perognathus_longimembris	0
Peromyscus_eremicus	1
Peromyscus_leucopus	0
Peromyscus_maniculatus	15
Phacochoerus_africanus	0
Phaenicophaeus_curvirostris	0
Phocoena_phocoena	0
Phocoena_sinus	0
Phyllostomus_discolor	0
Piliocolobus_tephrosceles	6
Pithys_albifrons	0
Pleurodeles_waltl	0
Podarcis_raffonei	0
Poecile_atricapillus	0
Polypterus_senegalus	10
Pongo_abelii	0
Pongo_pygmaeus	0
Prinia_subflava	0
Prionailurus_bengalensis	0
Prionailurus_viverrinus	0
Pristiophorus_japonicus	2
Pristis_pectinata	0
Protopterus_annectens	15
Pseudophryne_corroboree	0
Pseudopipra_pipra	0
Pseudorca_crassidens	0
Ranitomeya_imitator	0
Rattus_norvegicus	0
Rhea_pennata	0
Rhinatrema_bivittatum	8
Rhineura_floridana	0
Rhinolophus_ferrumequinum	0
Rhinopithecus_roxellana	0
Rissa_tridactyla	0
Saccopteryx_bilineata	0
Saccopteryx_leptura	0
Sarcophilus_harrisii	0
Sceloporus_undulatus	4
Sciurus_carolinensis	0
Scyliorhinus_canicula	0
Serinus_canaria	0
Sorex_araneus	0
Spea_bombifrons	0
Sphaerodactylus_townsendi	0
Strigops_habroptila	1
Struthio_camelus	0
Suncus_etruscus	0
Suricata_suricatta	6
Sus_scrofa	0
Sylvia_atricapilla	0
Symphalangus_syndactylus	0
Tachyglossus_aculeatus	0
Taeniopygia_guttata	0
Thamnophis_elegans	0
Theropithecus_gelada	7
Tiliqua_scincoides	0
Trichosurus_vulpecula	0
Tursiops_truncatus	0
Ursus_arctos	0
Vidua_chalybeata	0
Vidua_macroura	0
Vulpes_lagopus	0
Xenopus_tropicalis	0
Zalophus_californianus	0
Zonotrichia_leucophrys	0
Zootoca_vivipara	0
