NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
100995829	Pan paniscus	SDC3	XM_034959750.4	5252	XP_034815641.3	442
100995829	Pan paniscus	SDC3	XM_008953449.4	5294	XP_008951697.1	400
100995829	Pan paniscus	SDC3	XM_034959753.3	4996	XP_034815644.1	414
101675952	Mustela putorius furo	SDC3	XM_045064079.1	5402	XP_044920014.1	442
101950363	Chrysemys picta bellii	SDC3	XM_008168913.4	2697	XP_008167135.1	402
101950363	Chrysemys picta bellii	SDC3	XM_065577118.1	2336	XP_065433190.1	376
102059004	Falco cherrug	SDC3	XM_055705980.1	3159	XP_055561955.1	417
103666748	Ursus maritimus	SDC3	XM_040619335.1	3177	XP_040475269.1	400
104335922	Opisthocomus hoazin	SDC3	XM_009941707.1	1296	XP_009940009.1	405
107120642	Gekko japonicus	SDC3	XM_015423377.1	1715	XP_015278863.1	386
110292973	Mus caroli	Sdc3	XM_021160677.1	4951	XP_021016336.1	442
113419833	Notechis scutatus	SDC3	XM_026679413.1	854	XP_026535198.1	236
120301653	Crotalus tigris	SDC3	XM_039329166.1	2891	XP_039185100.1	441
120301653	Crotalus tigris	SDC3	XM_039329167.1	3620	XP_039185101.1	409
120511654	Passer montanus	SDC3	XR_005629789.1	2805		
120511654	Passer montanus	SDC3	XR_005629790.1	2701		
120511654	Passer montanus	SDC3	XM_039728986.1	2909	XP_039584920.1	430
123255987	Gracilinanus agilis	SDC3	XM_044684690.1	1854	XP_044540625.1	378
123782429	Ursus americanus	SDC3	XM_045782629.1	3643	XP_045638585.1	553
125912859	Panthera uncia	SDC3	XM_049617640.1	6982	XP_049473597.1	430
126507197	Alexandromys fortis	Sdc3	XM_050151422.1	4914	XP_050007379.1	442
128152755	Harpia harpyja	SDC3	XM_052811364.1	7591	XP_052667324.1	417
128918993	Rissa tridactyla	SDC3	XM_054223927.1	7532	XP_054079902.1	416
128947930	Melozone crissalis	SDC3	XM_054292453.1	1497	XP_054148428.1	430
129011639	Pongo pygmaeus	SDC3	XM_054446790.2	5270	XP_054302765.1	442
129011639	Pongo pygmaeus	SDC3	XM_054446795.2	5041	XP_054302770.1	410
129514067	Nyctereutes procyonoides	SDC3	XM_055332640.1	5574	XP_055188615.1	549
132586289	Heteronotia binoei	SDC3	XM_060258304.1	2322	XP_060114287.1	399
132673385	Panthera onca	SDC3	XM_060626006.1	4864	XP_060481989.1	346
137218416	Pseudorca crassidens	SDC3	XM_067725181.1	5218	XP_067581282.1	442
138154244	Petaurus breviceps papuanus	SDC3	XM_069078832.1	7047	XP_068934933.1	473
138154244	Petaurus breviceps papuanus	SDC3	XM_069078833.1	6988	XP_068934934.1	421
139001566	Myotis yumanensis	SDC3	XM_070403070.1	4981	XP_070259171.1	441
101366603	Odobenus rosmarus divergens	SDC3	XM_012564518.1	1446	XP_012419972.1	400
101528421	Ochotona princeps	SDC3	XM_058677980.1	3870	XP_058533963.1	451
101704350	Heterocephalus glaber	Sdc3	XM_013074195.2	5838	XP_012929649.1	725
101875474	Melopsittacus undulatus	SDC3	XM_034069183.1	1960	XP_033925074.1	420
102278475	Bos mutus	SDC3	XM_070360254.1	5694	XP_070216355.1	602
104034279	Pelecanus crispus	SDC3	XM_009487230.1	1233	XP_009485505.1	384
