Gene_name	Class	Order	Species_name	Aligned_region	Gene_length	Normalized_value
WNT16	Aves	Anseriformes	Anas_platyrhynchos	1080	1080	1
WNT16	Lepidosauria	Squamata	Anolis_carolinensis	931	1080	0.862037
WNT16	Lepidosauria	Squamata	Anolis_sagrei	930	1080	0.861111
WNT16	Aves	Anseriformes	Anser_brachyrhynchus	1080	1080	1
WNT16	Aves	Accipitriformes	Aquila_chrysaetos	1080	1080	1
WNT16	Reptilia	Testudines	Chelonoidis_abingdonii	1080	1080	1
WNT16	Reptilia	Testudines	Chrysemys_picta	1080	1080	1
WNT16	Aves	Galliformes	Coturnix_japonica	1080	1080	1
WNT16	Reptilia	Crocodylia	Crocodylus_porosus	1080	1080	1
WNT16	Lepidosauria	Squamata	Eublepharis_macularius	1039	1080	0.962037
WNT16	Lepidosauria	Squamata	Euleptes_europaea	1080	1080	1
WNT16	Aves	Passeriformes	Ficedula_albicollis	811	1080	0.750926
WNT16	Aves	Passeriformes	Geospiza_fortis	1066	1080	0.987037
WNT16	Reptilia	Testudines	Gopherus_evgoodei	1080	1080	1
WNT16	Lepidosauria	Squamata	Laticauda_laticaudata	749	1080	0.693519
WNT16	Actinistia	Coelacanthiformes	Latimeria_chalumnae	991	1080	0.917593
WNT16	Aves	Galliformes	Meleagris_gallopavo	948	1080	0.877778
WNT16	Lepidosauria	Squamata	Naja_naja	931	1080	0.862037
WNT16	Lepidosauria	Squamata	Notechis_scutatus	749	1080	0.693519
WNT16	Aves	Passeriformes	Parus_major	1080	1080	1
WNT16	Reptilia	Testudines	Pelodiscus_sinensis	1080	1080	1
WNT16	Lepidosauria	Squamata	Podarcis_muralis	991	1080	0.917593
WNT16	Lepidosauria	Squamata	Podarcis_raffonei	1080	1080	1
WNT16	Lepidosauria	Squamata	Pogona_vitticeps_zw	1080	1080	1
WNT16	Lepidosauria	Squamata	Pogona_vitticeps_zz	1080	1080	1
WNT16	Lepidosauria	Squamata	Pseudonaja_textilis	749	1080	0.693519
WNT16	Lepidosauria	Squamata	Rhineura_floridana	1080	1080	1
