Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Chicken.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
	ENSGALG00010024587	IL34	62.11	NA	NA	62.11	50	NA	406	NA	NA	NA
	ENSGALG00010025248	C11orf74	38.34	NA	NA	38.34	9	NA	406	NA	NA	NA
	ENSGALG00010014320	UTS2B	47.07	NA	NA	47.07	39	NA	406	NA	NA	NA
	ENSGALG00010002679	OLAH	38.27	NA	NA	38.27	7	NA	406	NA	NA	NA
	ENSGALG00010023956	KREMEN1	46.05	NA	NA	46.05	38	NA	406	NA	NA	NA
	ENSGALG00010010931	CYYR1	42.9	NA	NA	42.9	27	NA	406	NA	NA	NA
	ENSGALG00010002820	DLEU7	42.89	NA	NA	42.89	26	NA	406	NA	NA	NA
ENSGALG00010000048	ENSGALG00010011487	MAN2B2	39.28	21.6834	66.37	39.28	12	66.37	394	[0,25)	0–25%	0–25%
ENSGALG00010000049	ENSGALG00010028086	MATK	62.86	35.7942	65.22	62.86	51	65.22	383	[25,50)	25–50%	25–50%
ENSGALG00010000092	ENSGALG00010013213	SH2D1A	44.27	16.9355	62.05	44.27	32	62.05	363	[0,25)	0–25%	0–25%
ENSGALG00010000221	ENSGALG00010011597	TBC1D14	40.66	12.1678	65.88	40.66	15	65.88	390	[0,25)	0–25%	0–25%
ENSGALG00010000367	ENSGALG00010021206	HSD17B1	70.88	19.5364	63.14	70.88	52	63.14	370	[0,25)	0–25%	0–25%
ENSGALG00010000816	ENSGALG00010011597	TBC1D14	40.66	15.6643	41.2	40.66	15	41.2	117	[0,25)	0–25%	0–25%
ENSGALG00010001082	ENSGALG00010002439	GPR82	33.4	11.6279	60.91	33.4	1	60.91	359	[0,25)	0–25%	0–25%
ENSGALG00010001111	ENSGALG00010002439	GPR82	33.4	16.8605	55.68	33.4	1	55.68	321	[0,25)	0–25%	0–25%
ENSGALG00010001127	ENSGALG00010003718	SIAH3	45.47	45.0413	51.9	45.47	35	51.9	288	[25,50)	25–50%	25–50%
ENSGALG00010001163	ENSGALG00010004070	ARL11	47.21	34.1709	41.24	47.21	40	41.24	118	[25,50)	25–50%	25–50%
ENSGALG00010001305	ENSGALG00010001486	WNT2	50.63	38.2979	46.12	50.63	42	46.12	216	[25,50)	25–50%	25–50%
ENSGALG00010001450	ENSGALG00010018057	SSTR4	56.14	16.4141	43.3	56.14	46	43.3	165	[0,25)	0–25%	0–25%
ENSGALG00010001483	ENSGALG00010013323	NOTCH2	45.54	20.6826	36.15	45.54	36	36.15	5	[0,25)	0–25%	0–25%
ENSGALG00010001484	ENSGALG00010028086	MATK	62.86	28.8591	38.82	62.86	51	38.82	60	[25,50)	25–50%	25–50%
ENSGALG00010001517	ENSGALG00010019451	CAV3	55.39	35.0993	42.41	55.39	45	42.41	149	[25,50)	25–50%	25–50%
ENSGALG00010001521	ENSGALG00010011597	TBC1D14	40.66	8.53147	36.19	40.66	15	36.19	6	[0,25)	0–25%	0–25%
ENSGALG00010001642	ENSGALG00010021206	HSD17B1	70.88	21.1921	64.79	70.88	52	64.79	380	[0,25)	0–25%	0–25%
ENSGALG00010001647	ENSGALG00010004070	ARL11	47.21	24.6231	39.97	47.21	40	39.97	86	[0,25)	0–25%	0–25%
ENSGALG00010001657	ENSGALG00010029597	ADAP2	44.72	24.7253	40.18	44.72	33	40.18	96	[0,25)	0–25%	0–25%
