species	ident
Accipiter_gentilis	48.3
Acinonyx_jubatus	74.2
Acomys_russatus	59.3
Agelaius_phoeniceus	49.8
Ailuropoda_melanoleuca	70.5
Alexandromys_fortis	62.1
Alligator_mississippiensis	45.9
Alligator_sinensis	50.6
Ambystoma_mexicanum	39.6
Ammospiza_caudacuta	46.8
Anas_acuta	47.7
Anas_platyrhynchos	46.6
Anomalospiza_imberbis	50.4
Anser_cygnoides	43.0
Aotus_nancymaae	82.6
Aphelocoma_coerulescens	51.1
Apodemus_sylvaticus	61.7
Apteryx_mantelli	50.9
Artibeus_jamaicensis	72.8
Arvicanthis_niloticus	60.1
Arvicola_amphibius	62.1
Balaenoptera_acutorostrata	72.8
Balaenoptera_musculus	73.2
Balaenoptera_ricei	73.2
Bombina_bombina	40.1
Bos_indicus_x_Bos_taurus	75.3
Bos_javanicus	75.2
Bos_mutus	75.3
Bos_taurus	75.0
Bubalus_bubalis	75.2
Bubalus_kerabau	75.2
Budorcas_taxicolor	73.9
Bufo_bufo	43.4
Bufo_gargarizans	43.7
Calidris_pugnax	43.3
Callithrix_jacchus	87.1
Callorhinus_ursinus	70.9
Caloenas_nicobarica	45.8
Camelus_bactrianus	75.1
Camelus_dromedarius	67.2
Camelus_ferus	67.2
Canis_lupus_dingo	70.6
Canis_lupus_familiaris	70.6
Capra_hircus	73.8
Capricornis_sumatraensis	74.0
Caretta_caretta	45.0
Carlito_syrichta	83.0
Castor_canadensis	67.4
Catharus_ustulatus	44.0
Cavia_porcellus	60.2
Cebus_imitator	89.5
Centrocercus_urophasianus	47.0
Ceratotherium_simum_simum	77.8
Cercocebus_atys	75.3
Cervus_canadensis	75.1
Cervus_elaphus	75.2
Chamaea_fasciata	50.4
Chelonia_mydas	45.7
Chelonoidis_abingdonii	47.7
Chinchilla_lanigera	70.9
Chionomys_nivalis	56.9
Chlorocebus_sabaeus	91.0
Choloepus_didactylus	75.5
Chroicocephalus_ridibundus	49.5
Chrysemys_picta_bellii	45.8
Chrysochloris_asiatica	73.5
Cinclus_cinclus	49.2
Colius_striatus	48.8
Colobus_angolensis_palliatus	94.3
Columba_livia	48.8
Corvus_brachyrhynchos	45.8
Corvus_hawaiiensis	46.0
Corvus_kubaryi	46.1
Corvus_moneduloides	44.9
Coturnix_japonica	43.8
Cricetulus_griseus	60.6
Crocodylus_porosus	50.9
Cygnus_olor	47.4
Cynocephalus_volans	84.0
Cyrtonyx_montezumae	44.0
Dama_dama	76.0
Dasypus_novemcinctus	74.6
Delphinapterus_leucas	67.3
Delphinus_delphis	76.2
Dendropsophus_ebraccatus	41.8
Dermochelys_coriacea	45.4
Desmodus_rotundus	76.9
Diceros_bicornis_minor	77.9
Dipodomys_merriami	69.2
Dipodomys_ordii	73.0
Dipodomys_spectabilis	73.6
Dromaius_novaehollandiae	29.2
Dromiciops_gliroides	61.0
Echinops_telfairi	72.3
Elephantulus_edwardii	74.2
Elephas_maximus_indicus	77.0
Eleutherodactylus_coqui	42.9
Enhydra_lutris_kenyoni	72.2
Equus_asinus	77.0
Equus_caballus	77.1
Equus_przewalskii	77.1
Equus_quagga	77.0
Erinaceus_europaeus	69.2
Eschrichtius_robustus	73.1
Eubalaena_glacialis	76.8
Eulemur_rufifrons	84.4
Eumetopias_jubatus	71.5
Falco_biarmicus	50.8
Falco_cherrug	50.8
Falco_naumanni	44.1
Falco_peregrinus	50.9
Falco_rusticolus	47.7
Felis_catus	71.9
Ficedula_albicollis	22.1
Fukomys_damarensis	57.2
Galeopterus_variegatus	82.4
Gallus_gallus	45.3
Gavialis_gangeticus	39.7
Geospiza_fortis	34.2
Geotrypetes_seraphini	46.0
Globicephala_melas	81.2
Gopherus_evgoodei	45.8
Gopherus_flavomarginatus	48.0
Gorilla_gorilla_gorilla	95.3
Gracilinanus_agilis	61.9
Grammomys_surdaster	60.9
