Gene name	Max. Coverage
ADAP2	42
ADRA1B	57
ARL11	46
CAV3	91
CYYR1	35
DIP2A	72
DLEU7	22
DNM3	79
ELOVL3	28
FREM2	78
GPR78	22
GPR82	9
GRK4	52
HHLA2	6
HPGDS	14
HSD17B1	13
IFTAP	15
IL13RA2	5
IL26	12
IL34	11
IL5RA	6
INTS6	71
KDM3A	42
KREMEN1	59
LAPTM5	13
LCP1	90
LRCH1	48
MAN2B2	39
MATK	35
MOB1A	84
NOTCH2	56
OLAH	16
PLAAT1	47
RBBP7	82
RIPPLY3	13
RUBCNL	18
SH2D1A	28
SH2D2A	9
SIAH3	71
SLC24A1	39
SLC9A5	55
SSTR4	84
STAP1	8
STOML3	68
SUV39H2	77
TBC1D14	61
TMEM273	17
TNIP2	18
UNKL	50
UTS2B	13
WNT2	88
YBX3	37
ZNF438	12
