species	ident
Acanthochromis_polyacanthus	49.4
Acanthopagrus_latus	55.8
Accipiter_gentilis	72.7
Acinonyx_jubatus	90.8
Acomys_russatus	89.6
Agelaius_phoeniceus	72.7
Ailuropoda_melanoleuca	92.5
Alexandromys_fortis	83.7
Alligator_mississippiensis	73.0
Alligator_sinensis	65.1
Alosa_alosa	61.1
Alosa_sapidissima	61.0
Amblyraja_radiata	62.8
Ambystoma_mexicanum	67.1
Amia_calva	65.0
Ammospiza_caudacuta	72.9
Ammospiza_nelsoni	72.9
Amphiprion_ocellaris	58.9
Anabas_testudineus	59.8
Anas_acuta	70.1
Anas_platyrhynchos	72.8
Anguilla_anguilla	61.4
Anguilla_rostrata	61.3
Anomalospiza_imberbis	72.5
Anser_cygnoides	72.6
Antechinus_flavipes	81.1
Antennarius_striatus	58.9
Aotus_nancymaae	97.4
Aphelocoma_coerulescens	73.3
Apodemus_sylvaticus	89.9
Aptenodytes_forsteri	59.9
Apteryx_mantelli	71.8
Apteryx_rowi	55.5
Apus_apus	72.9
Aquila_chrysaetos_chrysaetos	71.1
Artibeus_jamaicensis	91.2
Arvicanthis_niloticus	90.2
Arvicola_amphibius	90.3
Astatotilapia_calliptera	59.1
Astyanax_mexicanus	62.2
Athene_cunicularia	57.5
Austrofundulus_limnaeus	60.1
Aythya_fuligula	71.5
Balaenoptera_acutorostrata	92.9
Balaenoptera_musculus	93.1
Balaenoptera_ricei	93.1
Betta_splendens	59.6
Bison_bison_bison	92.0
Boleophthalmus_pectinirostris	59.8
Bombina_bombina	66.9
Bos_indicus	92.2
Bos_indicus_x_Bos_taurus	92.2
Bos_javanicus	92.1
Bos_taurus	92.2
Brachionichthys_hirsutus	61.9
Brachyistius_frenatus	59.8
Brienomyrus_brachyistius	62.4
Bubalus_bubalis	92.0
Bubalus_kerabau	92.0
Budorcas_taxicolor	91.7
Bufo_bufo	63.7
Callithrix_jacchus	97.1
Callorhinchus_milii	62.8
Callorhinus_ursinus	92.7
Caloenas_nicobarica	73.6
Calypte_anna	73.0
Camarhynchus_parvulus	72.8
Camelus_bactrianus	78.2
Camelus_dromedarius	85.3
Camelus_ferus	92.2
Canis_lupus_dingo	92.6
Canis_lupus_familiaris	85.6
Capra_hircus	91.6
Capricornis_sumatraensis	91.6
Carassius_auratus	60.2
Carcharodon_carcharias	63.3
Caretta_caretta	73.4
Carlito_syrichta	81.1
Castor_canadensis	92.7
Catharus_ustulatus	64.4
Cavia_porcellus	88.8
Cebidichthys_violaceus	57.2
Cebus_imitator	97.2
Centrocercus_urophasianus	72.1
Centropristis_striata	59.6
Ceratotherium_simum_simum	93.5
Cercocebus_atys	98.0
Cervus_canadensis	91.9
Cervus_elaphus	92.0
Chaetura_pelagica	69.2
Chamaea_fasciata	71.7
Channa_argus	59.2
Chanodichthys_erythropterus	59.2
Chanos_chanos	61.8
Charadrius_vociferus	70.3
Cheilinus_undulatus	59.4
Chelmon_rostratus	59.5
Chelonia_mydas	73.3
Chelonoidis_abingdonii	65.4
Chiloscyllium_plagiosum	62.3
Chinchilla_lanigera	91.3
Chionomys_nivalis	83.8
Chiroxiphia_lanceolata	48.8
Chlorocebus_sabaeus	97.9
Choloepus_didactylus	85.4
Chroicocephalus_ridibundus	72.6
Chrysemys_picta_bellii	73.2
Chrysochloris_asiatica	90.4
Cinclus_cinclus	72.6
Clarias_gariepinus	61.8
Clinocottus_analis	60.6
Clupea_harengus	61.0
Colius_striatus	73.4
Cololabis_saira	61.4
Colossoma_macropomum	64.3
Columba_livia	71.6
Condylura_cristata	91.6
Conger_conger	62.3
Corapipo_altera	73.3
Coregonus_clupeaformis	61.0
Corvus_brachyrhynchos	69.6
Corvus_cornix_cornix	72.7
Corvus_hawaiiensis	72.8
Corvus_kubaryi	72.5
Corvus_moneduloides	72.7
Corythoichthys_intestinalis	61.4
Coturnix_japonica	72.7
Cricetulus_griseus	88.4
Ctenopharyngodon_idella	59.6
Cuculus_canorus	70.5
Cyanistes_caeruleus	51.0
Cygnus_atratus	69.1
Cygnus_olor	69.0
Cynocephalus_volans	93.7
Cynoglossus_semilaevis	56.1
Cyprinodon_tularosa	59.6
Cyprinodon_variegatus	58.9
Cyrtonyx_montezumae	72.0
Dama_dama	91.9
Danio_aesculapii	60.1
Danio_rerio	58.8
Dasypus_novemcinctus	91.4
Delphinapterus_leucas	92.7
Delphinus_delphis	69.6
Dendropsophus_ebraccatus	65.0
Denticeps_clupeoides	60.9
Dermochelys_coriacea	72.5
Desmodus_rotundus	91.3
Dicentrarchus_labrax	59.5
Diceros_bicornis_minor	93.4
