# klumpy scan_alignments --alignment_map packbio_merged.sorted.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Naja_naja/GCA_009733165.1_Nana_v5_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
1	CM019161.1	200000	275000	29,16	E2320_000946
2	CM019161.1	525000	600000	24,15	E2320_000954
3	CM019161.1	3000000	3075000	4,7	E2320_001006
4	CM019161.1	3150000	3225000	18,5	E2320_001009,E2320_001010,E2320_001011
5	CM019161.1	3250000	3325000	2,5	E2320_001013,E2320_001016,E2320_001014,E2320_001015
6	CM019161.1	3600000	3675000	3,7	E2320_001023,E2320_001022
7	CM019161.1	3850000	3925000	8,5	E2320_001029,E2320_001027,E2320_001026,E2320_001028
8	CM019161.1	3950000	4075000	8,3,4	E2320_001030,E2320_001031,E2320_001033
9	CM019161.1	4100000	4175000	1,2	E2320_001034,E2320_001032,E2320_001036,E2320_001035
10	CM019161.1	4375000	4425000	3	E2320_001037,E2320_001041
11	CM019161.1	5125000	5200000	12,5	E2320_001055
12	CM019161.1	5325000	5400000	6,6	E2320_001058
13	CM019161.1	5500000	5650000	12,9,3,4,6	E2320_001060,E2320_001059,E2320_001062,E2320_001063,E2320_001061
14	CM019161.1	5750000	5825000	4,4	E2320_001065,E2320_001067
15	CM019161.1	5975000	6025000	10	E2320_001071
16	CM019161.1	6075000	6175000	25,31,13	E2320_001070,E2320_001072
17	CM019161.1	6200000	6275000	3,3	E2320_001069,E2320_001073
18	CM019161.1	6550000	6625000	6,6	E2320_001080
19	CM019161.1	6650000	6825000	2,10,14,10,3	E2320_001082,E2320_001081,E2320_001083
20	CM019161.1	7050000	7150000	9,5,4	E2320_001088,E2320_001091,E2320_001090
21	CM019161.1	7175000	7250000	4,4	E2320_001092
22	CM019161.1	7275000	7350000	9,9	E2320_001093
23	CM019161.1	7600000	7675000	2,2	E2320_001095,E2320_001094
24	CM019161.1	7750000	7825000	3,3	E2320_001100,E2320_001105,E2320_001102
25	CM019161.1	7850000	7925000	8,11	E2320_001104
26	CM019161.1	8050000	8100000	11	E2320_001106
27	CM019161.1	9875000	9925000	4	E2320_001114
28	CM019161.1	11175000	11225000	15	E2320_001118
29	CM019161.1	12325000	12425000	9,13,6	E2320_001121,E2320_001119,E2320_001120
30	CM019161.1	13125000	13200000	11,15	E2320_001122
31	CM019161.1	13400000	13475000	11,14	E2320_001123
32	CM019161.1	13750000	13825000	19,14	E2320_001133
33	CM019161.1	14000000	14075000	5,4	E2320_001147,E2320_001142,E2320_001146,E2320_001144,E2320_001145,E2320_001143
34	CM019161.1	14450000	14525000	10,10	E2320_001159,E2320_001160,E2320_001162
35	CM019161.1	14825000	14900000	7,16	E2320_001164,E2320_001168,E2320_001166
36	CM019161.1	15000000	15100000	6,4,3	E2320_001170,E2320_001171,E2320_001173,E2320_001174
37	CM019161.1	15925000	15975000	4	E2320_001186
38	CM019161.1	16800000	16850000	2	E2320_001191
39	CM019161.1	16975000	17175000	4,4,4,3,2,3	E2320_001190,E2320_001194,E2320_001193,E2320_001196,E2320_001195,E2320_001197
40	CM019161.1	17375000	17425000	4	E2320_001198
41	CM019161.1	17875000	18000000	11,2,2,3	E2320_001204,E2320_001199,E2320_001202
42	CM019161.1	18100000	18175000	1,4	E2320_001205,E2320_001206,E2320_001207,E2320_001209
43	CM019161.1	18200000	18250000	3	E2320_001212
44	CM019161.1	18275000	18375000	2,4,3	E2320_001213,E2320_001210,E2320_001211
45	CM019161.1	18525000	18700000	3,4,2,3,4	E2320_001214,E2320_001215,E2320_001217
46	CM019161.1	18975000	19025000	5	E2320_001218
47	CM019161.1	19050000	19100000	9	E2320_001219
48	CM019161.1	19275000	19325000	3	E2320_001221
49	CM019161.1	19350000	19425000	4,4	E2320_001222
50	CM019161.1	19525000	19675000	3,5,8,8,3	E2320_001224,E2320_001227,E2320_001228
51	CM019161.1	19750000	19925000	4,2,4,3,4	E2320_001229,E2320_001230
52	CM019161.1	19975000	20025000	7	E2320_001233
53	CM019161.1	20100000	20175000	10,3	E2320_001234
54	CM019161.1	20550000	20625000	5,6	E2320_001235
55	CM019161.1	20825000	20900000	4,5	E2320_001236,E2320_001237,E2320_001238
56	CM019161.1	20925000	21175000	5,2,7,3,3,4,3	E2320_001240,E2320_001241,E2320_001242,E2320_001243
57	CM019161.1	21200000	21275000	5,6	E2320_001244
58	CM019161.1	21550000	21675000	6,4,4	E2320_001245,E2320_001246
59	CM019161.1	22000000	22100000	3,4,3	E2320_001252,E2320_001251,E2320_001253,E2320_001254
60	CM019161.1	22625000	22700000	16,15	E2320_001258
61	CM019161.1	22725000	22800000	4,4	E2320_001256
62	CM019161.1	22950000	23100000	2,4,3,5	E2320_001259,E2320_001261,E2320_001262,E2320_001264
63	CM019161.1	23175000	23275000	4,7,5	E2320_001263,E2320_001266,E2320_001267
64	CM019161.1	23300000	23375000	3,2	E2320_001268
65	CM019161.1	23400000	23450000	4	E2320_001270
66	CM019161.1	23775000	23850000	5,5	E2320_001274,E2320_001279,E2320_001280,E2320_001282
67	CM019161.1	24025000	24100000	3,2	E2320_001284,E2320_001287
68	CM019161.1	25200000	25300000	1,6,4	E2320_001331,E2320_001335,E2320_001333,E2320_001332,E2320_001336,E2320_001338,E2320_001339
69	CM019161.1	25925000	25975000	5	E2320_001366,E2320_001369
