Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Actinopteri	Amiiformes	Amia_calva	Intact	0	1493	2175178	2128743	2184091	2137656	4367	0	55506	54121	55468	54198	0
Actinopteri	Anguilliformes	Anguilla_anguilla	Intact	21	2279	40577350	40494341	40547484	40464475	22682	0	731677	722588	742008	732043	1675
Actinopteri	Anguilliformes	Anguilla_rostrata	Intact	36	2274	39642578	39571106	39610754	39539282	8375	0	728861	728246	735031	733201	296
Actinopteri	Osteoglossiformes	Brienomyrus_brachyistius	Intact	0	1166	1472288	1440136	1481146	1448994	3651	0	27865	26984	27710	27053	0
Actinopteri	Semionotiformes	Lepisosteus_oculatus	Intact	1	1895	3570198	3519166	3549987	3498955	4752	0	70557	69883	71177	70250	351
Actinopteri	Polypteriformes	Erpetoichthys_calabaricus	Intact	6	9281	35487396	35780413	35453182	35746199	32602	982	1768217	1785627	1778381	1799781	1738
Actinopteri	Polypteriformes	Polypterus_senegalus	Intact	10	11690	35374636	35664197	35337291	35626852	32317	682	1703238	1715725	1692456	1704943	1283
Amphibia	Caudata	Ambystoma_mexicanum	Intact	0	75452	1653850	2459397	951660	1757207	376168	1489	29981	39880	10843	19917	5150
Amphibia	Anura	Bombina_bombina	Intact	0	2965	482150	852349	413096	783295	129412	0	21638	42039	18729	42911	9933
Amphibia	Anura	Bufo_bufo	Intact	0	2242	57236	93277	39142	75183	6524	0	1038	1133	702	797	0
Amphibia	Anura	Bufo_gargarizans	Intact	0	2570	45457	100267	32768	87578	14108	0	318	1918	318	1181	0
Amphibia	Anura	Dendropsophus_ebraccatus	Intact	0	1777	92295	125492	78731	111928	8978	0	4115	4487	4115	4487	0
Amphibia	Anura	Eleutherodactylus_coqui	Intact	0	1716	61122	106186	44545	89609	19133	0	339	3005	339	3005	1205
Amphibia	Gymnophiona	Geotrypetes_seraphini	Intact	0	20550	588264	940899	281497	634132	63659	1302	74082	106774	39948	73098	7409
Amphibia	Anura	Hyla_sarda	Intact	1	1881	148652	223015	133839	208202	17184	0	4907	7052	4823	6478	195
Amphibia	Anura	Hyperolius_riggenbachi	Intact	1	9738	545016	924061	423231	802276	122755	0	14434	25340	11307	21098	4560
Amphibia	Anura	Pelobates_fuscus	Intact	0	8068	118454	204317	97037	182900	10409	0	3994	9185	3994	9409	950
Amphibia	Caudata	Pleurodeles_waltl	Intact	0	38754	1474866	2086623	1132694	1744451	303785	304	12561	18262	11164	16552	1990
Amphibia	Anura	Pseudophryne_corroboree	Intact	0	4123	349119	668472	326838	646191	151067	0	18026	30728	17989	33574	8301
Amphibia	Anura	Rana_temporaria	Intact	0	7156	152526	246385	117417	211276	23281	0	4060	4432	3867	4018	0
Amphibia	Anura	Ranitomeya_imitator	Intact	0	2075	73415	194895	60108	181588	57036	0	0	1950	0	1950	1770
