Gene stable ID	Gene % GC content	Gene name
ENSGALG00010000048	66.37	MAN2A2
ENSGALG00010000049	65.22	FES
ENSGALG00010000092	62.05	INPPL1
ENSGALG00010000221	65.88	TBC1D10A
ENSGALG00010000367	63.14	HSD17B10
ENSGALG00010000816	41.20	TBC1D4
ENSGALG00010001082	60.91	P2RY1
ENSGALG00010001111	55.68	SUCNR1
ENSGALG00010001127	51.90	SIAH2
ENSGALG00010001163	41.24	ARL14
ENSGALG00010001305	46.12	WNT16
ENSGALG00010001450	43.30	GPR149
ENSGALG00010001483	36.15	
ENSGALG00010001484	38.82	BMX
ENSGALG00010001517	42.41	CAV2
ENSGALG00010001521	36.19	TBC1D5
ENSGALG00010001642	64.79	
ENSGALG00010001647	39.97	ARL8BL
ENSGALG00010001657	40.18	SMAP1
ENSGALG00010001700	64.67	
ENSGALG00010001729	41.55	MOG
ENSGALG00010001771	60.62	WDR73
ENSGALG00010001800	60.70	
ENSGALG00010001805	65.14	
ENSGALG00010001831	39.38	CSF2RA
ENSGALG00010001839	36.59	
ENSGALG00010001842	42.21	GPR26
ENSGALG00010001847	37.82	
ENSGALG00010001869	36.03	CRLF2
ENSGALG00010001916	36.90	
ENSGALG00010001995	40.78	LRRC1
ENSGALG00010002027	41.04	LRRC30
ENSGALG00010002062	44.86	GSTA4
ENSGALG00010002135	44.64	ELOVL5
ENSGALG00010002136	57.74	ACAP1
ENSGALG00010002192	44.00	
ENSGALG00010002197	44.68	GSTA2
ENSGALG00010002251	41.63	GRK5
ENSGALG00010002285	42.17	CAV1
ENSGALG00010002356	45.76	WNT11
ENSGALG00010002383	38.19	INPP5F
ENSGALG00010002443	58.22	TYK2
ENSGALG00010002456	40.72	ELOVL4
ENSGALG00010002557	48.28	
ENSGALG00010002575	49.54	BGV
ENSGALG00010002584	49.20	
ENSGALG00010002586	39.66	GPR63
ENSGALG00010002753	41.84	SLC9A7
ENSGALG00010002782	45.64	GSTA3
ENSGALG00010002792	42.26	
ENSGALG00010002807	57.50	P2RY6
ENSGALG00010002878	54.97	P2RY2
ENSGALG00010002918	36.91	FAM84A
ENSGALG00010002940	48.86	BG1
ENSGALG00010002958	43.85	DHRS12
ENSGALG00010003025	49.56	MFHAS1
ENSGALG00010003212	58.87	LTB4R
ENSGALG00010003242	38.81	ASAP2
ENSGALG00010003582	39.08	RDH10
ENSGALG00010003743	49.10	ARL9
ENSGALG00010003762	59.69	EVI5L
ENSGALG00010003790	44.15	ELOVL6
ENSGALG00010003797	46.96	HSD17B13
ENSGALG00010003812	49.45	BG8
ENSGALG00010003874	39.14	YES1
ENSGALG00010003892	37.96	OPRK1
ENSGALG00010003994	42.67	SDR16C5
ENSGALG00010004005	40.25	SDR16C6
ENSGALG00010004029	37.54	ARL4A
ENSGALG00010004049	42.02	SETDB2
ENSGALG00010004089	37.92	NPBWR1
ENSGALG00010004130	48.83	RIPPLY2
ENSGALG00010004250	43.54	MOB1B
ENSGALG00010004372	40.86	SYNJ2
ENSGALG00010004746	40.56	LYN
ENSGALG00010004879	42.20	CYP51A1
ENSGALG00010004946	40.40	SH2D1B
ENSGALG00010004976	46.95	HSD17B11
ENSGALG00010005050	40.14	BTN3A3
ENSGALG00010005058	41.80	
ENSGALG00010005073	40.28	
ENSGALG00010005086	46.28	
ENSGALG00010005098	46.69	
ENSGALG00010005128	40.57	
ENSGALG00010005142	38.97	
ENSGALG00010005194	45.06	
ENSGALG00010005201	39.86	
ENSGALG00010005256	40.38	OPRM1
ENSGALG00010005276	56.42	
ENSGALG00010005284	45.09	OXGR1
ENSGALG00010005289	41.73	
ENSGALG00010005336	38.22	PEX7
ENSGALG00010005357	40.08	TNIP3
ENSGALG00010005365	55.66	
ENSGALG00010005406	54.06	FFAR2L
ENSGALG00010005410	53.83	GR42L6
ENSGALG00010005483	53.86	FFAR2L7
ENSGALG00010005581	55.73	GR42L5
ENSGALG00010005651	38.81	USP6NL
ENSGALG00010005667	57.99	
ENSGALG00010005700	57.12	
ENSGALG00010005854	55.58	
ENSGALG00010006028	37.32	ARL5B
ENSGALG00010006043	38.32	BTN3A2
ENSGALG00010006046	39.62	BTN3A2
ENSGALG00010006054	40.14	
ENSGALG00010006077	37.34	TBCK
ENSGALG00010006119	41.19	
ENSGALG00010006201	49.54	SSTR1
ENSGALG00010006273	36.96	ARL13B
ENSGALG00010006288	52.75	ARF5
ENSGALG00010006544	40.50	MOB3B
ENSGALG00010007439	44.07	HSD17B2
ENSGALG00010007655	36.75	SLC9A3
ENSGALG00010007762	43.53	SH2D4A
ENSGALG00010007789	38.53	WWOX
ENSGALG00010007992	43.32	LAPTM4A
ENSGALG00010008025	36.26	TBC1D22A
ENSGALG00010008047	38.69	ASAP1
ENSGALG00010008110	65.82	DEF8
ENSGALG00010008127	45.22	TBC1D2
ENSGALG00010008324	51.47	SCRIB
ENSGALG00010008330	36.75	EZH2
ENSGALG00010008405	48.97	FAM84B
ENSGALG00010008441	43.17	PHLPP2
ENSGALG00010008777	39.51	HSD17B3
ENSGALG00010008894	51.85	
ENSGALG00010008960	37.86	LRRC2
ENSGALG00010009159	40.33	PTK2
ENSGALG00010009280	37.76	HSD17B4
ENSGALG00010009306	39.82	TBC1D9
ENSGALG00010009340	39.58	SYK
ENSGALG00010009400	51.98	CNTFR
ENSGALG00010009410	44.93	JMJD1C
ENSGALG00010009503	57.24	IL11RA
ENSGALG00010009567	48.93	NSD1
ENSGALG00010009663	37.91	FER
ENSGALG00010009762	36.90	MAN2A1
ENSGALG00010009972	58.21	PTK2B
ENSGALG00010010205	46.33	ARL5A
ENSGALG00010010534	37.73	SYNJ1
ENSGALG00010010728	41.52	ELOVL2
ENSGALG00010010770	65.37	SLC8A2
ENSGALG00010010911	48.05	ADAP1L
ENSGALG00010010944	46.44	NPHS2
ENSGALG00010010946	38.70	SH2D4B
ENSGALG00010011049	47.28	ABL2
ENSGALG00010011130	38.79	DNM1L
ENSGALG00010011161	44.37	RABGAP1L
ENSGALG00010011317	47.41	BLK
ENSGALG00010011544	53.32	STOML2
ENSGALG00010011556	42.18	LAPTM4B
ENSGALG00010011564	57.83	ARAP3
ENSGALG00010011605	42.29	APPL2
ENSGALG00010011692	44.87	ARL1
ENSGALG00010011899	41.48	PHLPP1
ENSGALG00010012031	60.10	GRK6
ENSGALG00010012041	43.28	ICOSLG
ENSGALG00010012053	60.80	ARL2
ENSGALG00010012147	38.83	ARFGAP3
ENSGALG00010012148	41.36	SETBP1
ENSGALG00010012247	37.94	TRIM23
ENSGALG00010012314	58.95	ADRB2
ENSGALG00010012373	41.64	WNT7B
ENSGALG00010012387	37.96	ERBIN
ENSGALG00010012472	44.91	IL22
ENSGALG00010012571	43.26	AGAP1
ENSGALG00010012669	38.92	ERCC8
ENSGALG00010012706	39.31	TBC1D8B
ENSGALG00010012744	51.45	ARL4C
ENSGALG00010012778	37.77	TBC1D15
ENSGALG00010012833	37.08	JAK2
ENSGALG00010012930	40.00	IL6ST
ENSGALG00010012976	42.13	SLC9A2
ENSGALG00010012978	55.13	HSD17B7
ENSGALG00010013001	36.43	ADGRV1
ENSGALG00010013084	50.95	SGSM3
ENSGALG00010013171	37.59	SLC9A8
ENSGALG00010013179	39.30	TBC1D30
ENSGALG00010013254	42.78	SAR1B
ENSGALG00010013269	49.28	INPP5B
ENSGALG00010013329	40.96	LIFR
ENSGALG00010013340	41.46	LIN28B
ENSGALG00010013344	39.94	OSMR
ENSGALG00010013480	42.85	TBC1D8
ENSGALG00010013604	43.17	FYN
ENSGALG00010013663	36.97	OPA1
ENSGALG00010013809	42.04	MX1
ENSGALG00010013886	39.59	SLC9A4
ENSGALG00010013899	50.82	WNT5B
ENSGALG00010014049	53.31	
ENSGALG00010014089	36.82	FIG4
ENSGALG00010014198	39.47	KDM3B
ENSGALG00010014218	37.46	IL31RA
ENSGALG00010014235	58.21	LRRC10
ENSGALG00010014305	63.38	ARL10
ENSGALG00010014306	45.62	
ENSGALG00010014599	50.26	SSTR3
ENSGALG00010014602	36.55	FRK
ENSGALG00010014614	39.63	GHR
ENSGALG00010014617	44.35	GRTP1
ENSGALG00010014682	43.83	IL13RA1
ENSGALG00010014690	64.17	CSF3R
ENSGALG00010014705	35.17	ARAP2
ENSGALG00010014717	40.75	ELOVL7
ENSGALG00010014796	40.13	PRLR
ENSGALG00010014886	42.00	RABGAP1L
ENSGALG00010014893	51.60	SLC9A6
ENSGALG00010014992	37.80	ARL15
ENSGALG00010014995	46.33	LRAT
ENSGALG00010015076	41.90	ITK
ENSGALG00010015100	39.17	MOB4
ENSGALG00010015128	50.38	OCRL
ENSGALG00010015135	60.89	RIPPLY1
ENSGALG00010015146	66.26	TNK2
ENSGALG00010015200	40.17	TBC1D1
ENSGALG00010015213	52.40	RUBCN
ENSGALG00010015278	52.29	WNT8A
ENSGALG00010015386	38.22	SLC24A4
ENSGALG00010015580	40.54	GEMIN5
ENSGALG00010015653	56.90	HCK
ENSGALG00010015774	37.00	PLS1
ENSGALG00010015887	37.04	SLC9A9
ENSGALG00010015975	55.87	BTK
ENSGALG00010016260	41.72	INTS6L
ENSGALG00010016336	38.68	SLC24A2
ENSGALG00010016428	44.76	ADRA1D
ENSGALG00010016463	39.99	FREM1
ENSGALG00010016470	60.40	TNIP1
ENSGALG00010016556	62.88	ASAP3
ENSGALG00010016648	44.89	ADRA2C
ENSGALG00010016718	55.42	LIN28A
ENSGALG00010016793	62.46	SLC9A1
ENSGALG00010016851	40.74	TEC
ENSGALG00010016855	44.18	LRRIQ4
ENSGALG00010016861	64.86	FGR
ENSGALG00010016862	38.80	TXK
ENSGALG00010016893	43.02	TBC1D9B
ENSGALG00010016910	38.79	WHSC1
ENSGALG00010016941	48.37	SLC8A1
ENSGALG00010016944	60.41	OPRD1
ENSGALG00010016957	52.85	WNT4
ENSGALG00010017167	54.82	SMAP2
ENSGALG00010017375	46.02	BDH1A
ENSGALG00010017383	45.42	BDH1B
ENSGALG00010017438	64.35	ADRB3
ENSGALG00010017442	63.18	LCK
ENSGALG00010017479	45.21	SSTR5
ENSGALG00010017500	40.17	ACAP2
ENSGALG00010017531	41.85	SACM1L
ENSGALG00010017548	55.27	ARL13A
ENSGALG00010017584	53.77	WNT11B
ENSGALG00010017608	47.13	RBBP4
ENSGALG00010017625	52.02	YBX1
ENSGALG00010017640	60.56	P2RY4
ENSGALG00010017668	62.60	INPPL1
ENSGALG00010017843	44.24	WHSC1L1
ENSGALG00010018219	38.35	SLC24A5
ENSGALG00010018299	42.02	SHOC2
ENSGALG00010018308	49.01	ACAP3
ENSGALG00010018314	46.69	SLC24A3
ENSGALG00010018343	43.63	
ENSGALG00010018345	59.63	WDR24
ENSGALG00010018356	44.91	ADRA1A
ENSGALG00010018404	61.86	IL2RG
ENSGALG00010018665	48.98	IL13RA2
ENSGALG00010018685	49.23	ARL3
ENSGALG00010018721	39.59	LRCH2
ENSGALG00010018752	48.04	PLS3
ENSGALG00010018819	37.92	LRRC28
ENSGALG00010019013	46.26	LRRK1
ENSGALG00010019204	54.06	ARF6
ENSGALG00010019546	45.58	HSD17B12
ENSGALG00010019738	52.62	ADRA2A
ENSGALG00010019905	35.83	
ENSGALG00010019925	46.37	RDH11
ENSGALG00010020092	61.83	SDHAF2
ENSGALG00010020111	61.61	ADRA2B
ENSGALG00010020115	40.86	LRRC18
ENSGALG00010020457	42.94	IL5RA
ENSGALG00010020580	54.65	SETMAR
ENSGALG00010021075	45.54	DHRS3
ENSGALG00010021079	48.67	WNT8B
ENSGALG00010021141	56.93	SGSM1
ENSGALG00010021142	63.40	WNT6
ENSGALG00010021151	60.56	WNT10A
ENSGALG00010021263	62.80	STOML1
ENSGALG00010021394	53.31	MAN2C1
ENSGALG00010021473	45.78	SLC8A3
ENSGALG00010021624	59.90	HSD11B2
ENSGALG00010021638	58.86	SRC
ENSGALG00010021650	54.49	CD276
ENSGALG00010021669	53.88	SAR1A
ENSGALG00010021730	43.68	ARL8B
ENSGALG00010021783	41.93	GIT2
ENSGALG00010021817	37.24	EVI5
ENSGALG00010021843	53.58	DDEFL1
ENSGALG00010022097	63.75	INPP5J
ENSGALG00010022210	50.27	EZH1
ENSGALG00010022304	50.36	ADAP1
ENSGALG00010022411	49.95	ADRB1
ENSGALG00010022415	44.11	DIP2B
ENSGALG00010022557	60.01	WNT1
ENSGALG00010022564	48.72	VTCN1
ENSGALG00010022565	65.39	ARF3
ENSGALG00010022717	49.49	ELOVL1
ENSGALG00010022731	37.08	LRRC8B
ENSGALG00010022815	44.13	LRRC8D
ENSGALG00010022831	48.96	LRRC8C
ENSGALG00010022838	46.54	ARFGAP2
ENSGALG00010022860	50.08	MOB3C
ENSGALG00010022879	38.07	
ENSGALG00010022931	65.27	RDH5
ENSGALG00010022974	48.91	INPP5D
ENSGALG00010023012	53.63	
ENSGALG00010023048	43.22	ARFGAP1
ENSGALG00010023118	47.26	LRRC27
ENSGALG00010023175	63.77	GRK2
ENSGALG00010023198	53.87	PTK6
ENSGALG00010023235	50.90	IL23R
ENSGALG00010023249	44.50	IL12RB2
ENSGALG00010023256	48.88	NPBWR2
ENSGALG00010023269	51.78	OPRL1
ENSGALG00010023274	39.64	ZBTB38
ENSGALG00010023335	46.96	WDR59
ENSGALG00010023469	59.86	
ENSGALG00010023593	62.67	CSK
ENSGALG00010023606	42.48	LRRC7
ENSGALG00010023641	40.11	LRRC40
ENSGALG00010023830	38.57	AGFG1
ENSGALG00010023852	34.43	LRRC39
ENSGALG00010023921	38.88	GRK7
ENSGALG00010024005	40.64	STYK1
ENSGALG00010024165	43.17	LEPR
ENSGALG00010024166	38.76	
ENSGALG00010024175	38.02	DHRS9
ENSGALG00010024220	39.27	SIAH1
ENSGALG00010024242	44.77	KMT2A
ENSGALG00010024391	41.65	TBC1D2B
ENSGALG00010024493	45.15	JAK1
ENSGALG00010024501	55.16	ARL8A
ENSGALG00010024660	65.80	KMT2D
ENSGALG00010024662	42.64	MOB2
ENSGALG00010024710	39.15	HSDL1
ENSGALG00010024800	44.30	KMT5A
ENSGALG00010024922	46.32	DRD2
ENSGALG00010024960	43.52	ARFRP1
ENSGALG00010024966	63.18	AGAP3
ENSGALG00010025236	68.44	RDH16
ENSGALG00010025283	68.50	
ENSGALG00010025312	43.82	PLEKHM3
ENSGALG00010025349	46.73	SETD1A
ENSGALG00010025389	62.24	SNED1
ENSGALG00010025554	41.63	DIP2C
ENSGALG00010025600	49.19	
ENSGALG00010025638	67.94	
ENSGALG00010025723	49.88	SETD2
ENSGALG00010025948	43.18	WNT9B
ENSGALG00010025956	67.54	
ENSGALG00010025960	40.61	GPR1
ENSGALG00010025972	45.63	WNT3
ENSGALG00010026017	59.34	PLEKHM1
ENSGALG00010026097	45.73	ARF1
ENSGALG00010026141	45.29	WNT3A
ENSGALG00010026166	47.50	WNT9A
ENSGALG00010026272	48.57	LRRC58
ENSGALG00010027052	38.22	APPL1
ENSGALG00010027077	43.31	ARF4
ENSGALG00010027080	51.59	TBC1D22B
ENSGALG00010027147	41.53	KMT2C
ENSGALG00010027189	68.67	STAP2
ENSGALG00010027340	67.44	IL12RB1
ENSGALG00010027417	57.99	WNT2B
ENSGALG00010027563	49.16	WDR77
ENSGALG00010027607	47.45	ABL1
ENSGALG00010027619	66.21	JAK3
ENSGALG00010027653	42.97	WNT7A
ENSGALG00010027712	43.90	STOM
ENSGALG00010027725	52.41	BTN1A1
ENSGALG00010027727	67.19	GSTM2
ENSGALG00010027875	47.93	WNT5A
ENSGALG00010027886	68.15	IL6R
ENSGALG00010027901	66.30	MOB3A
ENSGALG00010027915	67.58	GSTM3
ENSGALG00010028107	57.82	NOTCH1
ENSGALG00010028128	49.25	DNM1
ENSGALG00010028134	46.85	INPP5E
ENSGALG00010028392	46.74	ASH1L
ENSGALG00010028428	41.92	RABGAP1
ENSGALG00010028460	66.76	CRLF1
ENSGALG00010028550	48.51	ZAP70
ENSGALG00010028572	51.90	TBC1D13
ENSGALG00010028575	59.07	SETDB1
ENSGALG00010028584	45.11	LRRC8A
ENSGALG00010028751	49.18	EHMT1
ENSGALG00010029154	44.87	UTS2R5
ENSGALG00010029155	49.44	UTS2R
ENSGALG00010029210	65.67	SGK494
ENSGALG00010029315	52.23	TBC1D16
ENSGALG00010029338	39.02	INPP5K
ENSGALG00010029346	58.72	ARL16
ENSGALG00010029470	58.08	SSTR2
ENSGALG00010029574	41.61	SGSM2
ENSGALG00010029697	70.46	GIT1
ENSGALG00010029782	47.11	UNK
