Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	1		48268459	48268752		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	2		48266665	48267011		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	3		48264398	48264620		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	4		48263403	48263528		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	5		48262565	48262981		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	6		48261889	48262041		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	7		48261119	48261199		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
thirteen-lined ground squirrel	matrilin 1	101973768	PROTEIN_CODING	1		Matn1	43179	Ictidomys tridecemlineatus	XM_021733162.2	XM_021733162.2			201	1691	1		NW_024405058.1	8		48260011	48260507		minus	48260011	48268752	NW_024405058 Unplaced Scaffold Reference HiC_Itri_2 Primary Assembly	2138		XP_021588837.1			496				cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	1		658151	658244		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	2		659925	660271		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	3		661602	661824		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	4		662682	662807		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
